row_type,parameter,module,quantity,eta,multiplier,direct_probability,row_status,profile_status,is_expansion_node,is_adaptive_node,direction,closest_proportional_crossing,probability_error,probability_resolution_pass,relative_multiplier_resolution_pass,crossing_exists,observed_nonmonotonic,search_guard_reached,numerical_issues
profile,r_cT,TFP link,conditional arithmetic COV,-0.48,0.6187833918061408,0.0918779346295315,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.44000000000000006,0.6440364210831413,0.09209309128314633,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.40000000000000013,0.6703200460356392,0.09232533556750393,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.4,0.6703200460356393,0.09232533556750393,ok,no_resolved_crossing_in_evaluated_domain,True,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.38,0.6838614092123558,0.09244826368902032,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.36000000000000004,0.697676326071031,0.09257595187704432,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.34,0.7117703227626097,0.09270857390038253,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.3200000000000003,0.7261490370736907,0.0928463090264473,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.32000000000000006,0.7261490370736908,0.0928463090264473,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.32,0.7261490370736909,0.09284630902644732,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.30000000000000004,0.7408182206817179,0.09298934212747587,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.28,0.7557837414557255,0.09313786378306951,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.26,0.7710515858035663,0.09329207037846166,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.24000000000000002,0.7866278610665534,0.09345216419788879,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.24,0.7866278610665535,0.0934521641978888,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.22000000000000003,0.8025187979624785,0.09361835351240644,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.20000000000000007,0.8187307530779818,0.09379085266145906,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.2,0.8187307530779818,0.09379085266145906,ok,no_resolved_crossing_in_evaluated_domain,True,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.19,0.8269591339433623,0.09387953708285188,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.18000000000000002,0.835270211411272,0.09396988212748399,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.17,0.8436648165963837,0.09406191632647908,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.16000000000000014,0.8521437889662112,0.09415566860280111,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.16000000000000003,0.8521437889662113,0.09415566860280111,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.16,0.8521437889662113,0.09415566860280111,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.15000000000000002,0.8607079764250578,0.09425116827286839,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.14,0.8693582353988059,0.094348445048016,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.13,0.8780954309205613,0.09444752903580103,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
profile,r_cT,TFP link,conditional arithmetic COV,-0.12000000000000001,0.8869204367171575,0.09454845074114371,ok,no_resolved_crossing_in_evaluated_domain,False,False,,,,,,False,False,True,Maximum documented search expansion reached without a crossing; no claim of impossibility is made.
